id;start_date;end_date;language
1;2021-07-31T14:17:01;2021-07-31T12:07:16;ENGLISH
2;2021-07-30T23:44:36;2021-07-31T09:10:05;FRENCH
3;2021-07-31T09:40:48;2021-07-30T21:45:56;SPANISH
4;2021-07-31T14:11:37;2021-07-30T19:37:56;FRENCH
5;2021-07-31T16:28:00;2021-07-31T00:46:58;ENGLISH
6;2021-07-31T01:58:43;2021-07-31T15:59:03;SPANISH
7;2021-07-31T10:02:31;2021-07-30T20:36:40;FRENCH
8;2021-07-31T00:28:24;2021-07-30T21:04:13;FRENCH
9;2021-07-31T01:20:02;2021-07-31T12:51:28;FRENCH
10;2021-07-30T21:17:00;2021-07-31T14:14:29;FRENCH
